doc_id,sentence_id,sentence_text,sentence_text_translated
0,0_10,"Apabila gejala tidak membaik dalam waktu 3-5 hari, masih terus muntah atau diare dan terdapat darah di dalamnya, demam, lemas, langsung hubungi petugas fasilitas layanan kesehatan terdekat. ","If the symptoms do not improve within 3-5 days, it continues to vomit or diarrhea and there is blood in it, fever, weakness, directly contact the nearest health service facility officer."
0,0_11,Semoga informasi ini dapat membantu dan semoga lekas sembuh. ,Hopefully this information can help and hopefully get well soon.
0,0_12,Salam.,Regards.
1,1_0,Halo. ,Hello.
1,1_1,Terima kasih atas pertanyaan yang disampaikan ke Alodokter. ,Thank you for the questions submitted to Alodokter.
1,1_2,Kami dapat memahami kekhawatiran yang Anda rasakan. ,We can understand the worries that you feel.
1,1_3,"Siklus menstruasi diawali oleh penglepasan sel telur dari indung telur ke rahim, yang diikuti oleh penebalan dinding rahim untuk persiapan menempelnya hasil fertilisasi / pembuahan sel telur oleh sperma. ","The menstrual cycle begins with the release of the egg from the ovaries to the uterus, which is followed by thickening of the uterine wall to prepare for the attachment of fertilization / fertilization of the egg by sperm."
1,1_4,"Bila sel telur tidak dibuahi oleh sperma, dinding rahim akan meluruh sehingga keluar melalui vagina dalam bentuk darah serta sel - sel yang rusak. ","If the egg is not fertilized by sperm, the uterine wall will decay so that it comes out through the vagina in the form of blood and damaged cells."
1,1_5,"Siklus menstruasi biasanya berlangsung setiap 21-35 hari, dengan haid yang berlangsung selama 2-8 hari, dan volume darah haid berkisar dari 20-60 mL (setara dengan 1-6 pembalut sehari). ","The menstrual cycle usually lasts every 21-35 days, with menstruation that lasts for 2-8 days, and menstrual blood volume ranges from 20-60 ml (equivalent to 1-6 pads a day)."
1,1_6,Tidak menutup kemungkinan bahwa gejala ketidakteraturan menstruasi yang Anda alami merupakan bentuk gangguan haid. ,It is possible that the symptoms of menstrual irregularities that you experience are a form of menstrual disorders.
1,1_7,"Ada beberapa kemungkinan bentuk gangguan haid, yang tersering antara lain: Metroragia, yaitu perdarahan haid yang interval antarhaidnya tak teratur. ","There are several possible forms of menstrual disorders, the most common, among others: metroragia, namely menstrual bleeding that intervals between irregular intervals."
1,1_8,"Menometroragia, yaitu peningkatan volume / durasi perdarahan haid yang disertai interval antarhaid yang tidak teratur. ","Menometroragia, which is an increase in the volume / duration of menstrual bleeding accompanied by irregular intervals of intervals."
1,1_9,"Hipermenorea/  menoragia, yaitu peningkatan volume perdarahan haid (lebih dari 80 mL darah / hari) dan / atau memanjangnya durasi haid (lebih dari 7 hari), tetapi dengan interval antarhaid yang tetap normal. ","Hypermenorrhoea / menoragia, which is an increase in the volume of menstrual bleeding (more than 80 ml of blood / day) and / or elongation of menstrual duration (more than 7 days), but with intervals between normally remaining intervals."
1,1_10,"Ada banyak kemungkinan penyebab gangguan haid, meliputi: Masalah pada organ reproduksi (rahim, leher rahim, saluran / tuba falopi, indung telur), termasuk pula sindrom polikistik ovarium. ","There are many possible causes of menstrual disorders, including: problems with reproductive organs (uterus, cervix, fallopian channels / tubes, ovaries), including ovarian polycystic syndrome."
1,1_11,"Faktor - faktor lain di luar sistem organ reproduksi, meliputi: gangguan hormonal, efek samping obat, gangguan pembekuan darah, stres, episode depresi). ","Other factors outside the reproductive organs system, including: hormonal disorders, drug side effects, blood clotting disorders, stress, depression episodes)."
1,1_12,"Supaya kondisi Anda dapat dievaluasi dan ditangani secara tepat, kami menyarankan Anda untuk memeriksakan diri secara langsung ke  dokter spesialis kebidanan dan kandungan. ","So that your condition can be evaluated and handled appropriately, we advise you to check yourself directly to the Midwifery and Gynecologist."
1,1_13,"Selain anamnesis dan pemeriksaan fisis, dokter mungkin menyarankan pemeriksaan penunjang bila ditemukan indikasi, misalnya: ultrasonografi (USG) kandungan, pemeriksaan darah, atau CT - scan. ","In addition to history and physical examination, the doctor may recommend a supporting examination if indications are found, for example: ultrasonography (ultrasound) content, blood tests, or CT - scans."
1,1_14,"Untuk membantu redakan keluhan, Anda disarankan untuk melakukan langkah - langkah sederhana berikut ini: Istirahat yang cukup. ","To help relieve complaints, you are advised to do the following simple steps: adequate rest."
1,1_15,"Jaga berat badan dalam rentang normal, Makan makanan bergizi seimbang secara teratur. ","Take care of your weight in a normal range, eat balanced nutritious food regularly."
1,1_16,Rutin melakukan latihan fisik atau olahraga. ,Routine doing physical exercises or sports.
1,1_17,Minum air putih paling tidak 8 gelas sehari Manajemen stres dengan baik. ,Drinking water at least 8 glasses a day stress management well.
1,1_18,"Untuk memperkaya wawasan, Anda dapat membaca artikel tentang  gangguan menstruasi. ","To enrich insight, you can read articles about menstrual disorders."
1,1_19,Demikian informasi dari kami. ,Thus information from us.
1,1_20,Mudah - mudahan senantiasa sehat. ,Hopefully always healthy.
1,1_21,Semoga bermanfaat.,May be useful.
2,2_0,"Selamat pagi, terima kasih atas pertanyaannya. ","Good morning, thank you for the question."
2,2_1,Reumatoid artritis (RA) merupakan penyakit autoimun dimana sistem kekebalan tubuh yang menyerang persendian sehingga menyebabkan peradangan kronis. ,"Rheumatoid arthritis (RA) is an autoimmune disease in which the immune system that attacks the joints, causing chronic inflammation."
2,2_2,Obat anti inflamasi kortikosteroud dan nonsteroid digunakan untuk mengendalikan gejala RA. ,Corticosteroud and nonsteroidal anti -inflammatory drugs are used to control RA symptoms.
2,2_3,Namun untuk mengontrol perkembangan penyakit perlu diberikan obat golongan disease - modifying antirheumatic drugs (DMARDs) seperti metotreksat. ,"However, to control the development of the disease, it is necessary to be given a disease of Disease - Modifying Antirheumatic Drugs (DMARDS) such as methotrexate."
2,2_4,Keduanya merupakan obat utama pada terapi RA ini. ,Both are the main medicine in this RA therapy.
2,2_5,"DMARDs dapat mempengaruhi perkembangan penyakit, tetapi membutuhkan waktu 4-6 bulan lamanya untuk mendapatkan respon terapi penuh. ","DMARDS can affect the development of the disease, but takes 4-6 months to get full therapeutic responses."
2,2_6,Namun penggunaan metotreksat harus dibawah monitoring oleh dokter karena dalam jangka waktu panjang dapat mengakibatkan gangguan berbagai organ seperti penurunan fungsi hati dan ginjal. ,"However, the use of the methotrexate must be under monitoring by the doctor because in the long run can result in disturbance of various organs such as decreased liver and kidney function."
2,2_7,"Sehingga pemberian DMARDs sebaiknya dilakukan setelah diagnosis, perkembangan dan keparahan penyakit sudah dipastikan dan tidak semua pasien dapat diberikan. ","So that the administration of DMARDS should be done after diagnosis, the development and severity of the disease has been confirmed and not all patients can be given."
2,2_8,Umumnya pada tahap awal hanya diberikan anti inflamasi non steroid kemudian dilakukan evaluasi respon pengobatan. ,Generally in the early stages only given non -steroidal anti -inflammatory then evaluated treatment responses.
2,2_9,Lakukanlah konsultasi dengan dokter untuk mendapatkan terapi yang tepat sesuai dengan kondisi medis anda. ,Consult a doctor to get the right therapy according to your medical condition.
2,2_10,"Sekian, semoga dapat membantu Wassalam.","So, hopefully can help Wassalam."
3,3_0,"Halo Friscilla, terima kasih ya sudah bertanya di Alodokter. ","Hello Friscilla, thank you for asking Alodokter."
3,3_1,"Membaca keluhan yang anda alami, keluhan tersebut memang dapat saja disebabkan oleh efek samping suplemen yang anda konsumsi (terutama jika suplemen tersebut bukan direkomendasikan oleh dokter dan belum banyak penelitian yang jelas mengenai suplemen tersebut),  tetapi dapat pula disebabkan oleh beberapa kemungkinan kondisi lain seperti : Radang usus Irritable bowel syndrome (IBS) Infeksi saluran cerna Sindrom dispepsia. ","Reading the complaints that you experience, the complaint can indeed be caused by the side effects of the supplements you consume (especially if the supplement is not recommended by a doctor and not many clear studies regarding these supplements), but can also be caused by several possible other possible conditions such as:Irritable bowel syndrome (IBS) intestinal inflammation of the gastrointestinal infection of dyspepsia syndrome."
3,3_2,"Sementara ini, sangat disarankan untuk menghentikan terlebih dahulu konsumsi suplemen penambah nafsu makan tersebut jika memang bukan disarankan oleh dokter dan beralih dengan mengubah pola pikir, pandangan dan makanan anda sehari - hari. ","Meanwhile, it is highly recommended to first stop consumption of appetite enhancement supplements if it is not recommended by a doctor and switched by changing your mindset, views and daily food."
3,3_3,"Anda diperbolehkan saja untuk mengonsumsi makanan yang enak sesekali untuk memicu nafsu makan anda, tetapi tetap imbangi dengan makanan yang sehat setiap harinya, terutama asupan sayur dan buah. ","You are allowed to eat delicious food occasionally to trigger your appetite, but still balance with healthy food every day, especially vegetable and fruit intake."
3,3_4,"Untuk mengatasi keluhan anda, anda diperbolehkan saja mengonsumsi obat diare (khususnya untuk memadatkan tinja) sesuai dengan dosis yang ada pada kemasan serta diimbangi dengan menghindari makanan yang sekiranya dpat mengiritasi saluran cerna seperti makanan yang asam dan pedas. ","To overcome your complaint, you are allowed to take diarrhea medicine (especially to compose feces) in accordance with the dosage on the packaging and balanced by avoiding foods that can irritate the digestive tract such as acidic and spicy foods."
3,3_5,"Selain itu, disarankan pula untuk selalu menjaga kebersihan makanan, minuman serta alat makan anda setiap harinya untuk menghindrai terjadinya infeksi pada saluran cerna, lakukan olahraga secara rutin minimal 30 menit per hari sesuai kemampuan anda dan kelola stres dengan baik. ","In addition, it is also recommended to always maintain the cleanliness of your food, drinks and cutlery every day to avoid the occurrence of infection in the digestive tract, do exercise regularly at least 30 minutes per day according to your ability and manage stress well."
3,3_6,Semoga membantu.,I hope this helps.
4,4_0,"Halo, terima kasih  atas pertanyaannya untuk Alodokter. ","Hello, thank you for the question to Alodokter."
4,4_1,Pada dasarnya masalah pada lambung ada bermacam - macam jenisnya. ,Basically there are various types of problems in the stomach.
4,4_2,"Bila yang anda maksudkan adalah penyakit asam lambung (GERD), maka umumnya nyeri yang dirasakan adalah nyeri pada ulu hati dan rasa terbakar pada dada. ","If what you mean is stomach acid disease (GERD), then generally the pain that is felt is pain in the solar plexus and burning sensation in the chest."
4,4_3,Gangguan lambung jarang menimbulkan nyeri hingga ke punggung dan tidak akan menimbulkan nyeri pada tengkuk leher belakang. ,Stomach disorders rarely cause pain to the back and will not cause pain in the back of the neck's neck.
4,4_4,"Gangguan pada pankreas dan juga saluran empedu mungkin menyebabkan nyeri yang bisa menjalar ke punggung dan kadang bisa ke bahu juga, namun biasanya tidak akan dirasakan hingga ke leher belakang. ","Disorders of the pancreas and also the bile duct may cause pain that can spread to the back and sometimes it can be to the shoulder too, but usually will not be felt to the back of the neck."
4,4_5,Sebaiknya cobalah ceritakan dengan lebih jelas gejala - gejala apa saja yang anda alami agar kami bisa menganalisis lebih lanjut kemungkinan - kemungkinan penyebabnya. ,We recommend that you try to tell more clearly what symptoms you experience so that we can analyze further the possibilities.
4,4_6,Untuk mendiagnosis penyakit sebenarnya perlu dilakukan anamnesis (wawancara medis) yang mendalam dan juga pemeriksaan fisik dan pemeriksaan penunjang. ,To diagnose the actual disease needs to be done in -depth history (medical interview) and also physical examination and supporting examination.
4,4_7,"Namun di masa pandemi virus corona seperti sekarang, anda diharapkan untuk tidak pergi ke dokter kecuali dalam keadaan yang benar - benar mendesak. ","But in the Corona virus pandemic as it is now, you are expected not to go to the doctor except in a state that is really urgent."
4,4_8,"Bila anda mengalami gejala - gejala penyakit asam lambung (misalnya anda merasa mual, kembung, nyeri ulu hati, rasa panas di dada, rasa mengganjal di tenggorok). ","If you experience symptoms - symptoms of stomach acid disease (for example you feel nauseous, bloating, heartburn, heat in the chest, lump in the throat)."
4,4_9,"Berikut ini adalah beberapa hal yang bisa anda coba lakukan: Makan lebih sedikit - sedikit namun lebih sering, kunyah makanan anda hingga halus baru telan. ","The following are some things you can try to do: Eat less - little but more often, chew your food until smooth just swallowed."
4,4_10,Hindari makan terlalu banyak dan hindari berbaring setelah makan. ,Avoid eating too much and avoid lying down after eating.
4,4_11,Tinggikan sandaran kepala anda saat tidur. ,Elevate your head back while sleeping.
4,4_12,"Hindari makan makanan yang terlalu berlemak / berminyak, terlalu pedas dan terlalu asam, serta hindari makan maknana yang banyak menghasilkan gas untuk sementara waktu. ","Avoid eating foods that are too fatty / oily, too spicy and too sour, and avoid eating meanings that produce a lot of gas for a while."
4,4_13,"Hindari merokok, minum alkohol dan juga kopi. ","Avoid smoking, drinking alcohol and coffee."
4,4_14,Turunkan berat badan bila terdapat berat badan berlebih. ,Lose weight if there is excess weight.
4,4_15,"Sekian informasi dari saya, semoga cukup menjawab.","So much information from me, hopefully enough to answer."
5,5_0,Halo saudara Eva. ,Hello Brother Eva.
5,5_1,Pemberian makanan pendamping ASI (MPASI) terlalu dini pada anak memiliki banyak dampak bagi anak. ,Provision of ASI Food (MPASI) Too early in children has many impacts on children.
5,5_2,"Beberapa risiko yang dapat terjadi apabila diberikan terlalu dini yaitu adanya risiko aspirasi (masuknya makanan ke jalan pernafasan bayi), bayi tidak mendapatkan asupan makanan yang cukup dan tidak memiliki daya tahan tubuh yang bagus, risiko kelebihan berat badan, dan gangguan pencernaan pada bayi seperti Necrotizing enterocolitis (kerusakan usus halus), intoleransi laktosa, alergi susu sapi, dan sebagainya. ","Some risks that can occur if given too early are the risk of aspiration (the entry of food into the baby's breathing path), the baby does not get enough food intake and has no good endurance, the risk of being overweight, and digestive disorders in infants such as necrotizingEnterocolitis (small intestine damage), lactose intolerance, cow's milk allergy, and so on."
5,5_3,Hal ini dikarenakan bayi memerlukan waktu untuk mendapatkan fungsi pencernaan yang bagus bagi dirinya. ,This is because the baby needs time to get a good digestive function for him.
5,5_4,Apabila diberikan terlalu dini organ pencernaan tidak akan mampu untuk mengolah makanan tersebut dan berdampak buruk bagi bayi. ,If given too early the digestive organs will not be able to process these foods and have a negative impact on the baby.
5,5_5,"Berhati - hatilah apabila bayi Anda terus rewel dan menangis, BAB berdarah, perut kembung, mencret, atau lemas. ","Be careful if your baby continues to fuss and cry, bloody chapters, flatulence, diarrhea, or weakness."
5,5_6,Hal ini dapat menjadi tanda bahwa terjadi sesuatu bagi bayi Anda. ,This can be a sign that something happens for your baby.
5,5_7,"Kembalilah menggunakan  ASI,  karena ASI adalah makanan utama bagi bayi bawah 6 bulan. ","Come back using breast milk, because breast milk is the main food for babies under 6 months."
5,5_8,ASI memiliki banyak manfaat bagi ibu dan bayi. ,ASI has many benefits for mothers and babies.
5,5_9,"Bagi ibu ASI dapat meningkatkan bounding antara bayi dan ibu, menghambat kesuburan sehingga dapat dipergunakan sebagai kontrasepsi alami, serta murah karena tidak memerlukan biaya. ","For mothers ASI can increase bounding between baby and mother, inhibit fertility so that it can be used as a natural contraception, and is cheap because it does not require money."
5,5_10,"Sedangkan bagi bayi ASI dapat meningkatkan sistem kekebalan tubuh, berat badan ideal, dan tulang lebih kuat. ","Whereas for infants ASI can increase the immune system, ideal body weight, and bones stronger."
5,5_11,"Berikanlah  ASI eksklusif  selama 6 bulan, baru diberikan makanan pendamping ASI. ","Give exclusive breastfeeding for 6 months, just given complementary foods."
5,5_12,Anda dapat membaca link berikut untuk menambah wawasan Urutan pemberian makanan pendamping ASI pada anak. ,You can read the following link to add insight into the sequence of breastfeeding food to children.
5,5_13,"Semoga bermanfaat, terima kasih.","Hopefully useful, thank you."
6,6_0,Halo Terima kasih atas pertanyaannya pada Alodokter. ,Hello thank you for the question to Alodokter.
6,6_1,Obat prednicort memiliki kandungan aktif  methylprednisolone  yang termasuk kedalam golongan obat kortikosteroid. ,Prednicort drugs have an active content of methylprednisolone which are included in the corticosteroid drug group.
6,6_2,"Golongan obat ini bekerja dengan menekan sistem kekebalan tubuh dan mengurangi reaksi peradangan serta gejalanya, seperti pembengkakan, nyeri, atau ruam. ","This group of drugs works by suppressing the immune system and reducing inflammatory reactions and symptoms, such as swelling, pain, or rashes."
6,6_3,"Obat ini memang memiliki efek samping salah satunya pada sistem pencernaan yaitu mual, muntah, dan nyeri pada daerah ulu hati. ","This drug does have side effects, one of which is in the digestive system, namely nausea, vomiting, and pain in the solar plexus."
6,6_4,Jadi sebaiknya obat ini dikonsumsi sekitar 1 jam setelah makan untuk mengurangi efek samping tersebut. ,So this drug should be consumed about 1 hour after eating to reduce these side effects.
6,6_5,"Obat Alloris memiliki kandungan aktif  loratadine  yang termasuk kedalam golongan obat antihistamin yang dapat meredakan gejala alergi seperti bersin - bersin, ruam kulit, pilek, akibat paparan alergen seperti debu dan lain sebagainya. ","Allisis drugs have an active loratadine content which is included in the group of antihistamine drugs that can relieve allergic symptoms such as sneezing, skin rashes, colds, due to allergen exposure such as dust and so forth."
6,6_6,Loratadine ini biasanya akan menimbulkan efek lelah atau mengantuk. ,Loratadine will usually cause tired or sleepy effects.
6,6_7,Jadi sebaiknya bila setelah mengonsumsi obat ini hindarilah untuk berpergian terutama bila mengendarai kendaraan bermotor sendiri. ,"So it is better if after taking this drug, avoid traveling, especially when driving a motorized vehicle itself."
6,6_8,Kedua obat yang Anda konsumsi sebenarnya merupakan obat simptomatik yang artinya boleh dihentikan penggunaannya bila dosis yang diberikan oleh dokter Anda sudah terpenuhi atau gejala yang timbul sudah hilang. ,The two drugs that you consume are actually symptomatic drugs which means that they may be stopped if the dose given by your doctor has been fulfilled or the symptoms that arise have been lost.
6,6_9,Jadi tidak perlu dikonsumsi secara terus menerus. ,So it doesn't need to be consumed continuously.
6,6_10,"Untuk keluhan pada lambung, kemungkinan disebabkan oleh obat yang mengandung kortikosteroid,  jadi sebaiknya konsumsilah setelah atau saat bersamaan dengan makanan untuk meminimalisir efek samping tersebut. ","For complaints in the stomach, possibly caused by drugs that contain corticosteroids, so you should consume after or at the same time with food to minimize these side effects."
6,6_11,Sekian informasi yang dapat kami sampaikan.,That's all the information we can convey.
7,7_0,Halo Jovan. ,Hello Jovan.
7,7_1,"Untuk menghitung usia kehamilan bukan dengan tanggal menikah, tetapi dihitung dengan hari pertama menstruasi terakhir (HPMT). ","To calculate the gestational age not with the date of marriage, but calculated by the first day of the last menstruation (HPMT)."
7,7_2,"Sebagai contoh, seseorang yang menikah tanggal 28 november, tetapi HPMT nya tanggal 10 november, maka kehamilannya akan dihitung sejak 10 november. ","For example, someone who married on November 28, but his HPMT on November 10, then the pregnancy will be calculated since November 10."
7,7_3,"Contoh lainnya wanita yang baru menikah 2 minggu, bisa saja dikatakan sudah hamil 5 minggu karena perhitungannya menurut HPMT dan bukan menurut tanggal menikah. ","Another example of a newly married woman for 2 weeks, could be said to have been 5 weeks pregnant because of her calculations according to HPMT and not according to the date of marriage."
7,7_4,Hal tersebut normal. ,This is normal.
7,7_5,Untuk persalinan normal sendiri bisa terjadi pada usia kehamilan 37-40 minggu dengan toleransi waktu sampai 42 minggu. ,For normal delivery itself can occur at 37-40 weeks' gestation with a time tolerance of up to 42 weeks.
7,7_6,Sedangkan hari perkiraan lahir / HPL yang terhitung melalui rumus HPMT adalah 40 minggu. ,While the estimated day of birth / HPL counted through the HPMT formula is 40 weeks.
7,7_7,"Sebagai contoh pada orang yang HPL nya 28 november, bisa saja melahirkan secara normal 3 minggu sebelum HPL nya. ","For example in people whose HPL is November 28, can give birth normally 3 weeks before the HPL."
7,7_8,Dengan demikian kami tidak bisa menyimpulkan jawaban dari pertanyaan Anda karena data yang diberikan kurang lengkap. ,Thus we cannot conclude the answers to your questions because the data given is incomplete.
7,7_9,"Anda bisa mencoba menghitung HPL dan usia kehamilan teman Anda dengan kalkulator kehamilan yang banyak tersedia di internet, misalnya  klik DI SINI . ","You can try to count HPL and your friends' gestational age with a pregnancy calculator that is widely available on the internet, for example click here."
7,7_10,Berikut ini artikel yang berhubungan dengan topik pertanyaan Anda: Menghitung usia kehamilan. ,The following articles related to the topic of your questions: Calculate the gestational age.
7,7_11,"Terima kasih  dan semoga membantu, dr Devika Y.","Thank you and hopefully helping, Dr. Devika Y."
8,8_0,Terima kasih Rahmadina atas pertanyaannya. ,Thank you Rahmadina for the question.
8,8_1,Jatuhnya anda sudah terjadi 10 tahun yang lalu. ,Your fall happened 10 years ago.
8,8_2,Yang ditakutkan dari cedera kepala adalah terjadinya perdarahan di dalam tengkorak sehingga menyebabkan meningkatnya tekanan dalam tengkorak. ,"What is feared from the head injury is the occurrence of bleeding in the skull, causing increased pressure in the skull."
8,8_3,"Meningkatnya tekanan di dalam tengkorak dapat menyebabkan sakit kepala, mual, muntah, penurunan kesadaran bahkan sampai meninggal. ","Increased pressure in the skull can cause headaches, nausea, vomiting, decreased consciousness and even to death."
8,8_4,"Namun tentu saja bila memang terjadi perdarahan di dalam tengkorak, gejala tersebut akan muncul sebelum 10 tahun. ","But of course if there is bleeding in the skull, these symptoms will appear before 10 years."
8,8_5,Pemeriksaan EEG adalah pemeriksaan untuk melihat aktivitas listrik di otak. ,EEG examination is an examination to see electrical activity in the brain.
8,8_6,"Pada orang yang epilepsi, akan terlihat aktivitas gelombang listrik yang meningkat. ","In people who are epilepsy, an increase in electrical wave activity will be seen."
8,8_7,"Bila memang aktivitas listrik dalam otak anda normal tetapi anda masih mengalami keluhan - keluhan tersebut, sebaiknya anda memeriksakan diri kembali ke dokter spesialis saraf. ","If indeed the electrical activity in your brain is normal but you still experience these complaints, you should check back to a neurologist."
8,8_8,Kemungkinan anda akan dilakukan pencitraan pada kepala. ,Chances are you will be imagined on the head.
8,8_9,"Karena hal - hal yang dapat meningkatkan tekanan di dalam tengkorak tidak hanya perdarahan, tetapi juga tumor, infeksi. ","Because things that can increase pressure in the skull not only bleeding, but also tumors, infection."
8,8_10,"Selain itu, gejala yang anda keluhkan, bisa juga akibat adanya kelainan pembuluh darah di otak (arteri venous malformation / AVM). ","In addition, the symptoms that you complain about, can also be due to abnormalities of blood vessels in the brain (arteries Venous Malformation / AVM)."
8,8_11,Di mana hal yang ditakutkan dari AVM adalah pecahnya pembuluh darah tersebut. ,Where the thing that is feared from AVM is the rupture of the blood vessels.
8,8_12,"Selain hal yang telah disebutkan di atas, penyebab sakit kepala juga dapat berupa : 1 Sakit kepala tipe tegang. ","In addition to the things mentioned above, the causes of headaches can also be: 1 tension type headache."
8,8_13,2 Sakit kepala tipe klaster. ,2 Cluster type headaches.
8,8_14,3 Migraine. ,3 migraine.
8,8_15,4 dan lain - lain. ,4 and others.
8,8_16,Anda dapat membacanya di sini:  sakit kepala (1)  dan  sakit kepala. ,You can read it here: Headaches (1) and Headaches.
8,8_17,( 2) ,(2)
8,8_18,Menjawab pertanyaan anda mengenai IKALEP. ,Answer your question about Ikalep.
8,8_19,IKALEP adalah sebuah obat yang berisi asam valproat. ,Ikalep is a drug that contains valproic acid.
8,8_20,"Asam valproat memang sering digunakan untuk pasien epilepsi, namun, asam valproat juga mempunyai efek sebagai pencegah serangan migraine. ","Valproic acid is often used for epilepsy patients, however, valproic acid also has an effect as a prevention of migraine attacks."
8,8_21,Untuk lebih detailnya anda dapat menghubungi kembali dokter spesialis saraf anda. ,"For more details, you can contact your neurologist again."
8,8_22,"Sementara itu di rumah, sebaiknya anda beristirahat yang cukup, memperhatikan faktor - faktor apa saja yang membuat sakit kepala anda kumat. ","Meanwhile at home, you should rest enough, pay attention to what factors make your headaches recur."
8,8_23,Anda juga dapat mengonsumsi obat - obat anti nyeri seperti paracetamol bila sakit anda kumat. ,You can also take anti -pain medication such as paracetamol if your pain is recurring.
8,8_24,"Untuk penggunaan obat, sebaiknya dosis dan waktunya disesuaikan dengan anjuran dokter. ","For drug use, the dosage and time should be adjusted to the doctor's advice."
8,8_25,"Demikian jawaban dari saya, semoga membantu, Andika Surya.","That's the answer from me, hopefully it helps, Andika Surya."
9,9_0,Halo Fachriani....... ,Hello Fachriani .......
9,9_1,Terima kasih  atas pertanyaan Anda. ,Thank you for your question.
9,9_2,Darah menstruasi pada umumnya berwarna kemerahan seperti darah. ,Menstrual blood is generally reddish like blood.
9,9_3,"Jika selama menstruasi Anda mengeluarkan darah yang berwarna kecoklatan, maka hal ini dapat disebabkan oleh berbagai macam penyebab, diantaranya sebagai berikut ini :   Terdapatnya jaringan fibroid dalam rahim. ","If during menstruation you bleed brownish blood, then this can be caused by a variety of causes, including the following: There is a fibroid tissue in the uterus."
9,9_4,Sisa darah menstruasi yang mengering. ,The remaining menstrual blood that dries.
9,9_5,Kista cokelat yang pecah. ,Broken chocolate cyst.
9,9_6,Gangguan pembekuan darah. ,Blood clotting disorders.
9,9_7,"Obstruksi darah menstruasi == polip, mioma, dan lain – lain. ","Menstrual blood obstruction == polyps, myoma, etc."
9,9_8,Pembesaran uterus   dan lain – lain. ,Enlargement of the uterus and others.
9,9_9,"Untuk mengetahui dengan pasti penyebab dari kondisi yang Anda alami saat ini, kami sangat menyarankan kepada Anda untuk segera mengunjungi Dokter Spesialis Kebidanan dan Kandungan agar dilakukan serangkaian pemeriksaan lebih lanjut seperti pemeriksaan fisik, tes darah, USG Obgyn, dan lain – lain sehingga penyebab pasti dari kondisi Anda diketahui dan akhirnya penanganan yang tepat dapat diberikan. ","To find out with certainty the causes of the conditions that you are experiencing at this time, we strongly advise you to immediately visit the obstetrics and obstetrician specialist so that a series of further examinations such as physical examination, blood tests, obgyn ultrasound, and others so that the exact causes ofYour condition is known and finally the right handling can be given."
9,9_10,"Demikian penjelasan yang dapat kami sampaikan, semoga bermanfaat.","Thus the explanation that we can convey, hopefully useful."
10,10_0,Terima kasih telah bertanya di Alodokter com. ,Thank you for asking Alodokter com.
